GmStr_MainMenu_TextTitle	激爆野球拳
GmStr_MainMenu_BtnStory	劇情模式
GmStr_MainMenu_BtnChallenge	挑戰模式
GmStr_MainMenu_BtnShop	商店
GmStr_MainMenu_BtnGallery	收藏間
GmStr_MainMenu_BtnSettings	設定
GmStr_MainMenu_BtnLogout	登出
GmStr_MainMenu_BtnExit	退出遊戲

GmStr_Settings_TextTitle	設定
GmStr_Settings_TextAudio	音效
GmStr_Settings_TextMusic	音樂
GmStr_Settings_TextLanguage	語言
GmStr_Settings_BtnBack	返回

GmStr_StoryTeam_TextTitle	選擇球隊
GmStr_StoryTeam_BtnSelect	選擇
GmStr_StoryTeam_BtnBack	返回
GmStr_StoryTeam_TextGirlNum	挑战女优数{0}人

GmStr_Story_TextTitle	選擇投手
GmStr_Story_BtnSelect	選擇
GmStr_Story_BtnBack	返回

GmStr_ChallengeTeam_TextTitle	選擇球隊
GmStr_ChallengeTeam_BtnSelect	選擇
GmStr_ChallengeTeam_BtnBack	返回

GmStr_Challenge_TextTitle	選擇投手
GmStr_Challenge_BtnSelect	開始遊戲
GmStr_Challenge_BtnBack	返回

GmStr_GirlName_UnnamedGirl	Unnamed Girl

Ingame_RPS_Tie	平手。
Ingame_RPS_Won	你贏了。
Ingame_RPS_Lost	你輸了。

Ingame_RoundReport_ReportFormat	{0}
Ingame_RoundReport_OutReportFormat	{0}， 出局 {1}
Ingame_RoundReport_ScoreReportFormat	{0}， 得分 {1}
Ingame_RoundReport_FullReportFormat	{0}， 得分 {1}， 出局 {2}

Ingame_PopupOutofEnergy_Desc	Out of energy.\nYou can earn more energy in the shop or watch ad.
Ingame_PopupOutofEnergy_BtnBuy	購買
Ingame_PopupOutofEnergy_BtnWatchAd	看廣告
Ingame_PopupOutofEnergy_BtnExit	結束

Ingame_PopupGameOver_Desc	恭喜.
Ingame_PopupGameOver_BtnExit	離開

StrEM_SlotMachine_Single	一壘安打
StrEM_SlotMachine_Double	二壘安打
StrEM_SlotMachine_Triple	三壘安打
StrEM_SlotMachine_HomeRun	全壘打
StrEM_SlotMachine_StrikeOut	三振
StrEM_SlotMachine_GroundOut	刺殺
StrEM_SlotMachine_PutOut	接殺
StrEM_SlotMachine_DoublePlay	雙殺
